Category,Lat,Long,Cases
Whooping Cough,51.24841,"-112.99060
Measles,53.54356,-113.49045,1
Measles,43.32552,-79.79903,6
Measles,43.25002,-79.86609,1
Measles,53.76086,-98.81388,7
Measles,49.78640,-97.18144,2
Whooping Cough,45.50867,-73.55399,106
Whooping Cough,46.56532,-66.46192,548
Measles,46.51071,-63.41681,2
Whooping Cough,46.74719,-64.20199,24
Measles,43.32552,-79.79903,6
Measles,51.56341,-88.94531,1
Measles,43.67664,-79.78484,1
Measles,44.47165,-79.82967,1
Measles,43.02192, -79.89096 ,19
Mumps,51.253775,-85.323214,11
Measles,46.411572,-75.698194,6
Measles,47.411572,-75.698194,1
Measles,45.26090,-75.69719,4
Whooping Cough,45.42593, -75.68586 ,7
Measles,52.939916,-73.549136,36
Measles,53.939916,-73.549136,2
Measles,52.93992,-73.54914,776
Measles,46.64364, -72.14061 ,150
Measles,52.939916,-106.450864,6
Measles,53.70971,-106.43555,1
Measles,53.4982,-106.44,1
Measles,52.93992,-106.45086,6
Measles,52.13340,-106.68324,1
Measles,43.65323,-79.38318,1
Measles,43.64975,-79.39898,10
Measles,45.64477,-65.87402,3
Measles,53.72667,-127.64762,8
Measles,49.19000, -122.80000 ,11
Measles,45.47654,-75.70127,1
Measles,43.13264,-80.73906,2
Measles,42.98695,-81.24318,2
Measles,49.26667, -122.96667 ,4
Mumps,51.9399642,-73.549136,15
Mumps,43.54488,-80.25010,2
Mumps,49.261226,-123.113927,90
Mumps,50.116168,-122.959423,15
Whooping Cough,64.28233,-135.00001,5
Other,44.56903,-80.94056,1
Mumps,43.54480,-80.24817,14
Whooping Cough,44.13130,-81.15069,239
Whooping Cough,62.4506192,-114.415307,1
Whooping Cough,46.5653163,-66.4619164,47
Whooping Cough,53.7608608,-98.8138763,51
Measles,6.611111,20.939444,31
Polio,7.1336,20.99487,4
Measles,4.3617,18.55597,8
Measles,15.454166,19.17513,5832
Measles,13.60328,19.09424,8650
Measles,11.78133,21.79688,4
Measles,12.10480,15.04451,2511
Measles,12.45773,16.72346,193
Other,14.99999,18.732207,507
Polio,15.45417,18.73221,15
Polio,12.55456,16.61133,5
Whooping Cough,-33.04565,-71.62036,643
Measles,-35.675147,-71.542969,6
Measles,-33.44889,-70.66927,9
Polio,35.38905,85.60547,9
Measles,35.85121,104.51569,"131,441"
Measles,35.85121,104.51569,52461
Measles,35.85121,104.51569,3538
Measles,35.85121,104.51569,9943
Measles,35.74428,104.07074,2731
Measles,35.46067,91.75781,27646
Measles,35.86166,104.195397,35677
Measles,30.57099,113.68758,"79,499"
Other,25.04581,102.71000,15
Other,30.545861,114.341921,81
Measles,5.01806,-74.07583,7
Mumps,4.59806,-74.07583,323
Whooping Cough,4.570868,-73.49992,14
Whooping Cough,4.59806,-74.07583,589
Measles,8.39989,-5.54708,491
Measles,7.00189,-5.54708,47
Polio,7.44962,-5.71289,36
Measles,35.12641,33.42986,1
Measles,49.81749,15.47296,23
Measles,56.26392,9.50178,2
Measles,56.26392,9.50179,6
Other,56.26392,9.50179,1
Measles,56.26392 ,9.501785,9
Measles,56.26392 ,9.501785,8
Polio,-4.310395,15.371668,3
Measles,-2.41628,14.94141,4861
Measles,-12.1975,27.79778,60
Measles,-2.50409,20.61035,134042
Measles,-4,26,73844
Measles,-3.050001,26.45,75
Measles,-2.8800,23.656,81949
Measles,-4.64303,27.13182,76
Measles,-10.98333,26.73333,204
Measles,-8.88511,26.41939,"20,000"
Polio,-4.038333,21.758664,63
Polio,-3.25021,24.47754,93
Polio,-4.12389,24.73992,17
Measles,-8.885115,26.419389,"30,000"
Measles,-0.21217,-78.50538,169
Measles,-0.14648,-78.47519,203
Mumps,26.82055,30.8025,583
Measles,29.20317,25.51955,139
